"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Ragged Short Spear","R","C","217698","6.03","30494","8.82","102817","52.4%","55.6%","18398","55.4%","23603","54.6%","42001","55.0%","60540","56.0%","-1.0pp"
"Smaug, the Great Calamity","R","C","187966","4.97","29951","7.07","131789","68.6%","55.6%","22002","54.0%","31462","57.3%","53464","55.9%","78327","55.4%","0.5pp"
"Smaug the Magnificent","R","M","3311","1.35","2465","1.34","14724","92.1%","58.8%","2590","63.4%","3598","64.3%","6188","63.9%","8565","55.1%","8.8pp"
"Smaug's Fury","R","C","235596","7.35","25849","10.98","28011","17.1%","53.1%","4701","50.3%","6288","52.7%","10989","51.7%","17033","53.9%","-2.3pp"
"Snowslope Hunter","R","U","77989","4.95","13646","6.75","56799","65.3%","54.5%","9915","51.1%","13090","54.5%","23005","53.0%","33857","55.5%","-2.5pp"
"Stone-Giant of High Pass","R","R","11652","2.41","4837","2.49","26723","86.0%","56.8%","4310","55.1%","6603","60.0%","10913","58.0%","15901","56.0%","2.0pp"
"Thorin, Mountain-king","R","M","4174","1.77","2527","1.75","14482","87.8%","58.0%","2479","61.3%","3498","63.6%","5977","62.7%","8428","54.4%","8.3pp"
"Tidings of War","R","C","206701","5.65","32436","8.13","134293","64.1%","56.0%","24140","56.6%","30200","54.1%","54340","55.2%","79969","56.5%","-1.3pp"
"Attercop","G","C","196366","5.38","27633","7.67","130778","74.9%","54.9%","23474","55.6%","29737","55.1%","53211","55.3%","77190","54.7%","0.6pp"
"Bejeweled Warg","G","R","9755","2.05","4409","2.07","23590","83.8%","56.3%","4398","63.9%","5367","56.7%","9765","60.0%","13844","53.8%","6.2pp"
"Beorn, Reluctant Host","G","C","220649","6.67","21438","10.14","38897","29.1%","51.3%","6780","48.9%","9093","51.4%","15873","50.3%","22935","52.0%","-1.6pp"
"Beorn the Fierce","G","M","3595","1.55","2317","1.49","13370","88.5%","57.3%","2235","61.7%","3177","63.9%","5412","63.0%","7904","53.0%","10.0pp"
"Beorn's Hospitality","G","U","60015","3.97","8711","5.39","39482","72.5%","53.4%","6861","54.9%","9039","54.3%","15900","54.6%","23413","52.6%","2.0pp"
