"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Abigale, Poet Laureate","WB","U","21289","3.73","4335","4.55","21171","78.9%","55.8%","3709","54.8%","5283","55.0%","8992","54.9%","12071","56.3%","-1.4pp"
"Abstract Paintmage","UR","U","27681","4.86","4718","6.33","18714","65.5%","51.9%","3253","50.6%","5487","52.4%","8740","51.7%","9670","52.0%","-0.3pp"
"Applied Geometry","UG","R","6413","2.43","2861","2.51","14680","83.4%","55.4%","2497","57.6%","4285","60.7%","6782","59.6%","7549","51.5%","8.1pp"
"Ark of Hunger","WR","R","6145","2.44","3380","2.38","18922","87.0%","60.2%","3335","64.6%","5312","66.0%","8647","65.5%","10093","55.6%","9.9pp"
"Aziza, Mage Tower Captain","WR","R","9290","3.46","2520","3.86","11101","71.2%","55.3%","1919","55.6%","2939","53.8%","4858","54.5%","6225","55.9%","-1.4pp"
"Berta, Wise Extrapolator","UG","R","5656","2.25","2519","2.28","13009","86.2%","53.4%","2217","53.0%","3751","57.2%","5968","55.6%","6780","51.2%","4.5pp"
"Blech, Loafing Pest","BG","R","5937","2.37","2253","2.38","11005","79.5%","55.4%","1926","61.8%","2745","58.8%","4671","60.1%","6180","51.6%","8.5pp"
"Bogwater Lumaret","BG","C","62334","4.65","10296","6.11","50955","80.3%","54.8%","8947","56.2%","12234","55.5%","21181","55.8%","29043","54.0%","1.8pp"
"Borrowed Knowledge","WR","U","38703","7.71","4505","11.32","1251","4.5%","49.6%","191","","362","","553","48.1%","696","50.7%","-2.6pp"
"Cauldron of Essence","BG","R","6175","2.41","2150","2.43","9858","75.6%","53.8%","1712","53.0%","2459","59.3%","4171","56.7%","5597","51.5%","5.2pp"
"Colorstorm Stallion","UR","R","5462","2.16","2922","2.14","16320","87.7%","58.0%","2819","63.5%","4855","63.2%","7674","63.3%","8147","52.5%","10.8pp"
"Colossus of the Blood Age","WR","U","25421","4.32","7097","5.05","35562","79.5%","58.1%","5904","57.0%","10229","62.0%","16133","60.2%","19295","56.3%","3.8pp"
"Conciliator's Duelist","WB","R","6800","2.72","2400","2.72","11619","76.7%","57.0%","1909","56.9%","3051","60.6%","4960","59.2%","6538","54.9%","4.3pp"
"Cuboid Colony","UG","U","24531","4.17","4947","5.30","23591","77.8%","54.4%","4152","57.2%","6446","56.9%","10598","57.0%","12642","52.1%","4.9pp"
"Dina's Guidance","BG","R","13746","5.00","1526","7.76","1269","13.6%","47.4%","205","","317","","522","46.0%","747","48.3%","-2.3pp"
"Elemental Mascot","UR","C","77900","6.07","12214","8.33","48706","64.0%","54.7%","8273","54.2%","14073","56.7%","22346","55.8%","25309","53.6%","2.2pp"
"Embrace the Paradox","UG","C","81700","6.34","12477","8.77","43869","57.0%","54.3%","7244","51.8%","12463","58.9%","19707","56.3%","23490","52.4%","3.9pp"
"Essenceknit Scholar","BG","U","20003","3.42","4708","4.07","24740","83.9%","56.2%","4369","59.4%","6189","58.8%","10558","59.1%","13773","53.9%","5.2pp"
"Fix What's Broken","WB","R","11641","4.60","1607","6.43","2831","28.7%","49.7%","468","","700","47.0%","1168","45.5%","1639","52.6%","-7.1pp"
"Fractal Mascot","UG","C","83705","6.65","11293","9.49","34239","49.6%","53.4%","5661","50.3%","9932","57.8%","15593","55.0%","18031","51.6%","3.4pp"
"Fractal Tender","UG","U","25830","4.44","4722","5.83","20200","71.1%","52.5%","3303","51.6%","5778","55.6%","9081","54.2%","10682","50.8%","3.4pp"
"Geometer's Arthropod","UG","R","11119","4.19","2066","5.20","6764","52.6%","54.2%","1215","56.5%","1827","54.7%","3042","55.4%","3600","52.9%","2.5pp"
"Grapple with Death","BG","C","56548","4.03","10950","5.26","58017","85.4%","55.1%","9881","54.1%","15060","60.1%","24941","57.7%","32516","52.9%","4.8pp"
"Growth Curve","UG","U","35310","6.83","3858","10.26","4433","18.9%","48.5%","729","44.3%","1218","48.7%","1947","47.0%","2446","49.6%","-2.6pp"
"Hardened Academic","WR","R","6747","2.69","2790","2.71","14664","82.5%","59.2%","2564","64.0%","4065","61.8%","6629","62.6%","8039","56.3%","6.3pp"
"Imperious Inkmage","WB","C","82964","6.70","11355","9.20","39872","55.8%","57.5%","6814","58.1%","9721","57.6%","16535","57.8%","23211","57.2%","0.6pp"
"Inkling Mascot","WB","C","79378","6.27","11886","8.38","49736","66.5%","57.2%","8705","58.1%","11705","55.6%","20410","56.6%","29188","57.5%","-0.9pp"
"Killian's Confidence","WB","U","24958","4.39","4943","5.43","22628","74.0%","56.8%","3822","55.8%","5363","58.7%","9185","57.5%","13346","56.2%","1.3pp"
"Kirol, History Buff","WR","U","26464","4.57","5913","5.62","29086","78.4%","57.5%","5128","58.0%","7596","56.7%","12724","57.2%","16379","57.7%","-0.5pp"
"Lluwen, Exchange Student","BG","U","20575","3.49","4377","4.32","21595","80.2%","54.4%","3575","53.1%","5334","59.2%","8909","56.8%","12345","52.6%","4.2pp"
"Lorehold Charm","WR","U","32080","5.74","5139","7.77","16102","50.5%","55.8%","2769","52.9%","4123","57.5%","6892","55.7%","9206","55.9%","-0.3pp"
"Lorehold, the Historian","WR","M","1878","1.50","1353","1.46","7357","89.0%","56.0%","1230","54.5%","2116","60.4%","3346","58.2%","3948","54.0%","4.3pp"
"Mind into Matter","UG","R","6973","2.61","2703","2.66","13440","81.7%","54.8%","2332","53.1%","3824","60.3%","6156","57.6%","6817","51.6%","6.0pp"
"Mind Roots","BG","U","28093","4.80","4541","6.38","17703","63.7%","53.0%","3030","53.0%","4499","54.0%","7529","53.6%","10055","52.3%","1.3pp"
"Molten Note","WR","U","26925","4.50","7040","5.37","35287","79.2%","58.5%","5949","58.2%","9727","61.9%","15676","60.5%","19372","56.8%","3.7pp"
"Moment of Reckoning","WB","R","6810","2.65","2832","2.61","14216","77.2%","59.4%","2341","60.8%","4001","66.9%","6342","64.7%","7586","54.3%","10.4pp"
"Nita, Forum Conciliator","WB","R","10134","3.69","1982","4.50","6670","56.0%","53.0%","1215","50.6%","1654","52.3%","2869","51.6%","3759","54.0%","-2.4pp"
"Old-Growth Educator","BG","U","25494","4.37","4045","5.90","18985","75.6%","54.2%","3117","54.9%","4802","54.8%","7919","54.8%","10859","53.3%","1.5pp"
"Paradox Surveyor","UG","U","25669","4.32","5952","5.35","28805","77.7%","56.1%","5081","57.8%","8287","59.9%","13368","59.1%","14849","53.1%","6.0pp"
"Pest Mascot","BG","C","67411","5.05","9257","6.98","43244","76.3%","53.9%","7370","53.7%","10691","54.1%","18061","53.9%","24656","53.8%","0.1pp"
"Practiced Scrollsmith","WR","U","24157","4.11","6922","4.76","36902","83.6%","59.2%","6133","58.0%","10181","62.5%","16314","60.8%","20496","57.8%","3.0pp"
"Prismari Charm","UR","U","27017","4.53","5835","5.74","28060","78.4%","55.1%","4911","55.7%","8255","59.0%","13166","57.8%","14016","52.4%","5.4pp"
"Prismari, the Inspiration","UR","M","2558","2.06","1121","2.10","5544","82.9%","53.0%","912","49.1%","1708","58.4%","2620","55.2%","2781","50.6%","4.5pp"
"Proctor's Gaze","UG","U","26412","4.38","6209","5.43","30325","78.8%","55.6%","5171","55.8%","8779","60.0%","13950","58.5%","15787","52.9%","5.6pp"
"Professor Dellian Fel","BG","M","1690","1.32","1222","1.29","6785","86.6%","57.5%","1188","62.2%","1794","64.4%","2982","63.5%","3692","52.3%","11.2pp"
"Pterafractyl","UG","C","77201","5.83","11183","8.26","44271","65.1%","53.4%","7658","50.3%","12460","56.7%","20118","54.3%","22632","51.8%","2.5pp"
"Pursue the Past","WR","C","83157","6.80","15250","8.66","57572","60.1%","59.0%","10006","60.1%","15136","61.6%","25142","61.0%","32297","57.4%","3.6pp"
