"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Final Act","B","M","542","2.76","142","","663","71.8%","55.2%","124","","186","","310","","353","",""
"Massacre Girl","B","M","392","2.16","175","","990","83.1%","56.5%","151","","276","","427","","565","53.1%",""
"No Mercy","B","M","568","2.85","116","","547","74.0%","54.8%","99","","159","","258","","289","",""
"Chaos Warp","R","M","1095","5.06","104","","207","33.2%","","39","","57","","96","","111","",""
"Fiery Emancipation","R","M","967","4.52","131","","291","35.4%","","49","","67","","116","","175","",""
"Fury of the Horde","R","M","1027","5.31","128","","120","15.0%","","17","","21","","38","","82","",""
"Monstrous Rage","R","M","838","3.85","141","","661","77.4%","54.8%","98","","156","","254","","407","",""
"Seize the Day","R","M","930","4.10","82","","150","29.2%","","23","","35","","58","","92","",""
"Bedlam","R","M","1260","5.51","145","","66","7.4%","","7","","14","","21","","45","",""
"Beast Within","G","M","1053","5.27","92","","97","17.8%","","11","","31","","42","","55","",""
"Defense of the Heart","G","M","747","3.31","137","","576","66.3%","52.6%","109","","140","","249","","327","",""
"Force of Vigor","G","M","1184","5.10","129","","154","19.0%","","27","","42","","69","","86","",""
"Heroic Intervention","G","M","2597","3.84","355","5.12","1394","63.6%","52.1%","214","","334","","548","54.0%","846","50.8%","3.2pp"
"Primal Vigor","G","M","937","4.51","91","","148","","","18","","33","","51","","97","",""
"Rancor","G","M","621","3.01","169","","852","80.0%","54.7%","135","","233","","368","","484","",""
"Steely Resolve","G","M","1020","4.62","123","","173","23.5%","","32","","52","","84","","90","",""
"Unnatural Growth","G","M","866","3.95","138","","528","62.0%","56.8%","85","","113","","198","","330","",""
"Anthem of Champions","WG","M","636","3.14","183","","896","79.2%","54.0%","165","","225","","390","","506","50.8%",""
"Aurelia, the Warleader","WR","M","520","2.77","163","","668","67.7%","55.8%","114","","169","","283","","386","",""
"Black Panther, Wakandan King","WG","M","507","2.41","202","2.55","1146","86.0%","60.2%","201","","280","","481","","664","56.6%",""
"Captain America, First Avenger","WUR","M","689","3.43","161","","414","43.0%","","71","","104","","175","","242","",""
"Escape to the Wilds","RG","M","869","4.14","205","4.78","819","63.7%","55.9%","124","","210","","334","","485","",""
"Fight to the Death","WR","M","1189","5.39","139","","92","10.5%","","13","","25","","38","","54","",""
"Iron Man, Titan of Innovation","UR","M","532","2.59","186","","891","76.7%","54.0%","138","","238","","376","","520","48.3%",""
"Privileged Position","WG","M","1052","4.47","118","","204","29.9%","","36","","53","","89","","115","",""
"Ravenous Tyrannosaurus","RG","M","476","2.18","213","2.17","1164","84.9%","56.9%","231","","298","","529","60.7%","646","53.1%","7.6pp"
"Storm, Force of Nature","URG","M","768","3.36","159","","427","45.2%","","72","","136","","208","","221","",""
"Sundering Growth","WG","M","1064","4.67","128","","260","33.9%","","48","","66","","114","","146","",""
"Warleader's Call","WR","M","547","2.62","203","2.66","1124","82.4%","58.6%","207","","260","","467","","657","57.1%",""
"Wolverine, Best There Is","RG","M","515","2.50","151","","656","72.6%","51.7%","115","","165","","280","","376","",""
"Horn of Greed","","M","1122","5.43","134","","42","5.4%","","8","","10","","18","","24","",""
"Roaming Throne","","M","309","1.53","189","","1156","96.7%","54.5%","208","","318","","526","55.7%","633","53.4%","2.3pp"
"Sword of Fire and Ice","","M","228","1.17","214","1.17","1478","99.5%","62.4%","250","","393","","643","69.2%","832","57.3%","11.9pp"
