"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Visionary's Dance","UR","C","291041","5.37","56809","7.29","277813","77.8%","53.9%","49890","51.9%","84559","59.0%","134449","56.4%","134352","50.7%","5.6pp"
"Wilt in the Heat","WR","C","281360","5.24","59903","6.87","288401","74.9%","56.1%","48184","54.9%","82389","58.0%","130573","56.9%","156184","55.4%","1.5pp"
"Witherbloom Charm","BG","U","111453","4.88","15101","6.91","62945","66.6%","53.7%","10794","52.1%","15836","55.1%","26630","53.9%","36022","53.6%","0.3pp"
"Witherbloom, the Balancer","BG","M","10230","2.11","3237","2.18","14710","74.8%","50.5%","2435","47.9%","3967","52.3%","6402","50.6%","8086","50.1%","0.5pp"
"Zaffai and the Tempests","UR","R","51658","4.56","7930","6.45","20527","41.6%","50.4%","3377","46.4%","6524","54.2%","9901","51.6%","10241","48.8%","2.8pp"
"Biblioplex Tomekeeper","","C","366868","8.69","39040","12.49","5224","2.1%","47.1%","775","40.3%","1381","48.3%","2156","45.4%","3049","48.0%","-2.6pp"
"Diary of Dreams","","U","129924","5.57","18840","7.92","60113","51.5%","51.5%","10812","48.7%","17264","53.6%","28076","51.7%","31115","51.3%","0.4pp"
"Mage Tower Referee","","C","354173","7.40","47166","10.59","84107","28.1%","54.1%","15479","53.4%","20963","54.0%","36442","53.8%","47335","54.3%","-0.5pp"
"Page, Loose Leaf","","C","359573","8.02","45114","11.40","44882","15.8%","52.2%","8246","51.8%","12529","53.3%","20775","52.7%","23730","51.7%","1.0pp"
"Potioner's Trove","","C","248708","4.61","64134","5.56","321625","79.5%","54.4%","60656","56.1%","92787","58.2%","153443","57.4%","162023","51.4%","6.0pp"
"Strixhaven Skycoach","","U","93404","3.87","31159","4.50","172843","85.8%","56.6%","32176","58.0%","46956","59.5%","79132","58.9%","92524","54.6%","4.3pp"
"Deathcap Glade","","R","45883","3.71","8611","5.10","42943","78.2%","54.1%","7956","55.4%","11148","56.1%","19104","55.8%","23032","52.6%","3.1pp"
"Dreamroot Cascade","","R","44964","3.62","9979","4.79","50371","80.2%","53.9%","9409","55.0%","13807","57.6%","23216","56.5%","25899","51.3%","5.2pp"
"Fields of Strife","","C","357075","5.49","72389","7.60","367824","79.5%","55.6%","68197","57.5%","100376","56.5%","168573","56.9%","196057","54.5%","2.5pp"
"Forum of Amity","","C","359335","5.49","62450","7.82","289658","72.5%","55.3%","54193","57.0%","71894","55.0%","126087","55.9%","161408","54.9%","1.0pp"
"Great Hall of the Biblioplex","","R","42098","3.62","11740","4.35","66642","89.1%","55.8%","12097","56.4%","18806","60.4%","30903","58.8%","34385","53.0%","5.9pp"
"Paradox Gardens","","C","343012","5.19","63497","7.24","322878","80.7%","54.1%","60538","55.6%","88927","56.6%","149465","56.2%","167930","52.0%","4.2pp"
