"card_name","colors","rarity","cgb_raw","cgb_zscore","ds_raw","ds_zscore","llu_a_raw","llu_a_zscore","llu_m_raw","llu_m_zscore","cfb_raw","cfb_zscore","average_zscore","expert_count"
"Spiritcall Enthusiast // Scrollboost","W","uncommon","5","0.192","4","-0.284","4","-0.189","3","-0.572","3","0.0595","-0.159","5"
"Summoned Dromedary","W","uncommon","4","-0.21","4","-0.284","4","-0.189","4.5","0.233","3","0.0595","-0.078","5"
"Elemental Mascot","R|U","common","4","-0.21","3","-0.68","5","0.382","5.5","0.77","2","-0.8495","-0.118","5"
"Great Hall of the Biblioplex","","rare","6","0.593","7","0.903","2","-1.331","2","-1.108","3","0.0595","-0.177","5"
"Fields of Strife","","common","5","0.192","5","0.111","5","0.382","5","0.502","3.5","0.514","0.34","5"
"Forum of Amity","","common","5","0.192","5","0.111","5","0.382","5","0.502","3.5","0.514","0.34","5"
"Geometer's Arthropod","G|U","rare","5","0.192","3","-0.68","4.5","0.096","4.5","0.233","2","-0.8495","-0.202","5"
"Paradox Gardens","","common","5","0.192","5","0.111","5","0.382","5","0.502","3.5","0.514","0.34","5"
"Spectacle Summit","","common","5","0.192","5","0.111","5","0.382","5","0.502","3.5","0.514","0.34","5"
"Titan's Grave","","common","5","0.192","5","0.111","5","0.382","5","0.502","3.5","0.514","0.34","5"
"Visionary's Dance","R|U","common","4","-0.21","4","-0.284","4.5","0.096","4","-0.035","3","0.0595","-0.075","5"
"Tester of the Tangential","U","uncommon","3","-0.611","5","0.111","2","-1.331","2","-1.108","3.5","0.514","-0.485","5"
"Deluge Virtuoso","U","common","3","-0.611","4","-0.284","3","-0.76","3","-0.572","3","0.0595","-0.433","5"
"Duel Tactics","R","uncommon","4","-0.21","4","-0.284","4.5","0.096","4","-0.035","1","-1.7585","-0.438","5"
"Eager Glyphmage","W","common","6","0.593","4","-0.284","5","0.382","5","0.502","1.5","-1.304","-0.022","5"
"Fractal Mascot","G|U","common","4","-0.21","4","-0.284","4.5","0.096","4.5","0.233","2.5","-0.395","-0.112","5"
"Goblin Glasswright // Craft with Pride","R","common","5","0.192","4","-0.284","4.5","0.096","4.5","0.233","4.25","1.1957","0.287","5"
"Homesickness","U","uncommon","4","-0.21","4","-0.284","4.5","0.096","4","-0.035","3.5","0.514","0.016","5"
"Pest Mascot","B|G","common","3","-0.611","4","-0.284","4.5","0.096","4","-0.035","3","0.0595","-0.155","5"
"Pterafractyl","G|U","common","5","0.192","4","-0.284","4.5","0.096","4","-0.035","3","0.0595","0.006","5"
"Pursue the Past","R|W","common","2","-1.013","4","-0.284","4","-0.189","4","-0.035","2","-0.8495","-0.474","5"
"Decorum Dissertation","B","mythic","2","-1.013","8","1.299","5","0.382","4","-0.035","4","0.9685","0.32","5"
"Restoration Seminar","W","mythic","11","2.601","8","1.299","4.5","0.096","3","-0.572","4.5","1.423","0.969","5"
"Hydro-Channeler","U","common","4","-0.21","3","-0.68","4.5","0.096","4","-0.035","3","0.0595","-0.154","5"
"Lorehold Charm","R|W","uncommon","4","-0.21","3","-0.68","4","-0.189","4","-0.035","3","0.0595","-0.211","5"
"Big Score","R","common","4","-0.21","4","-0.284","4.5","0.096","4.5","0.233","","","-0.041","5"
"""Codie, Vociferous Codex""","","rare","5","0.192","4","-0.284","3","-0.76","2","-1.108","1","-1.7585","-0.744","5"
"Deduce","U","common","4","-0.21","4","-0.284","5","0.382","5","0.502","","","0.098","5"
"Dualcaster Mage","R","rare","8","1.396","4","-0.284","4.5","0.096","5.5","0.77","4","0.9685","0.589","5"
"Helping Hand","W","uncommon","2","-1.013","4","-0.284","3","-0.76","3","-0.572","","","-0.657","5"
"Oracle's Restoration","G","common","2","-1.013","4","-0.284","3","-0.76","2","-1.108","1.75","-1.0767","-0.848","5"
"Potioner's Trove","","common","2","-1.013","4","-0.284","3","-0.76","3","-0.572","2.5","-0.395","-0.605","5"
"Prismatic Ending","W","uncommon","3","-0.611","4","-0.284","3","-0.76","3","-0.572","","","-0.557","5"
"Royal Treatment","G","uncommon","5","0.192","4","-0.284","5.5","0.667","5.5","0.77","","","0.336","5"
"Shamanic Revelation","G","rare","2","-1.013","4","-0.284","4","-0.189","4","-0.035","","","-0.38","5"
"Sheoldred's Edict","B","uncommon","2","-1.013","4","-0.284","4","-0.189","3","-0.572","","","-0.514","5"
"Sleight of Hand","U","common","5","0.192","4","-0.284","4.5","0.096","4.5","0.233","","","0.059","5"
"Tablet of Discovery","R","uncommon","3","-0.611","6","0.507","5","0.382","4.5","0.233","3.75","0.7412","0.25","5"
"Rapturous Moment","R|U","uncommon","5","0.192","4","-0.284","3","-0.76","1","-1.645","3","0.0595","-0.487","5"
"Strife Scholar // Awaken the Ages","R","common","4","-0.21","4","-0.284","3","-0.76","2","-1.108","1.25","-1.5312","-0.779","5"
"Zealous Lorecaster","R","common","5","0.192","4","-0.284","4.5","0.096","4","-0.035","1.75","-1.0767","-0.222","5"
"Adventurous Eater // Have a Bite","B","common","4","-0.21","3","-0.68","4","-0.189","3","-0.572","3","0.0595","-0.318","5"
"Expressive Firedancer","R","common","4","-0.21","3","-0.68","4","-0.189","4","-0.035","2","-0.8495","-0.393","5"
"Infirmary Healer // Stream of Life","G","uncommon","6","0.593","3","-0.68","5","0.382","4.5","0.233","2.75","-0.1678","0.072","5"
"Inkling Mascot","B|W","common","5","0.192","3","-0.68","4.5","0.096","4","-0.035","2","-0.8495","-0.255","5"
"Joined Researchers // Secret Rendezvous","W","rare","4","-0.21","3","-0.68","5","0.382","4.5","0.233","3.5","0.514","0.048","5"
