"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Glen Elendra Guardian","U","R","11032","2.36","4912","2.54","32369","86.1%","54.0%","5796","55.0%","8573","57.3%","14369","56.3%","18081","52.2%","4.2pp"
"Glen Elendra's Answer","U","M","13074","3.90","3346","4.63","14727","64.3%","55.5%","2371","55.8%","3996","60.5%","6367","58.8%","8366","53.0%","5.8pp"
"Gravelgill Scoundrel","U","C","217987","6.40","35514","8.59","136882","60.4%","55.5%","25095","56.0%","33104","55.3%","58199","55.6%","76649","55.1%","0.5pp"
"Harmonized Crescendo","U","R","20485","3.83","4544","4.74","19679","63.7%","53.1%","3183","50.1%","5106","55.3%","8289","53.3%","11403","52.9%","0.4pp"
"Illusion Spinners","U","U","80774","5.89","10755","8.41","21640","32.1%","49.8%","3662","47.9%","5639","53.2%","9301","51.1%","12384","49.0%","2.2pp"
"Kulrath Mystic","U","C","237309","7.12","32922","10.07","68281","33.0%","53.3%","12248","52.9%","18395","54.6%","30643","53.9%","36721","52.5%","1.4pp"
"Loch Mare","U","M","4021","1.71","2576","1.77","20760","88.9%","56.8%","3687","60.8%","5670","63.1%","9357","62.2%","11475","52.4%","9.8pp"
"Lofty Dreams","U","U","71790","5.15","13464","6.73","50908","59.7%","54.2%","8344","52.0%","13408","57.7%","21752","55.5%","29189","53.3%","2.2pp"
"Mirrorform","U","M","8943","3.21","2734","3.57","13350","69.2%","53.3%","2179","50.8%","3649","58.6%","5828","55.7%","7532","51.5%","4.2pp"
"Noggle the Mind","U","U","61759","4.46","11619","5.80","55441","75.1%","53.7%","9382","51.9%","14927","56.8%","24309","54.9%","31177","52.7%","2.2pp"
"Oko, Lorwyn Liege","U","M","4156","1.77","2408","1.80","16417","81.0%","52.5%","2841","57.0%","4463","56.5%","7304","56.7%","9178","49.0%","7.7pp"
"Omni-Changeling","U","U","48954","3.66","15197","4.26","84811","86.1%","55.0%","14066","52.7%","23011","58.1%","37077","56.1%","45798","53.5%","2.6pp"
"Pestered Wellguard","U","U","53545","4.04","12396","4.96","61914","77.9%","54.3%","10615","53.2%","15911","55.2%","26526","54.4%","34489","53.8%","0.6pp"
"Rime Chill","U","U","82857","5.85","12968","8.08","31507","38.8%","51.3%","5001","47.7%","8638","55.0%","13639","52.3%","17910","50.5%","1.8pp"
"Rimefire Torque","U","R","37246","5.84","4474","8.97","1313","4.7%","43.7%","242","","340","","582","39.2%","733","47.2%","-8.0pp"
"Rimekin Recluse","U","U","39423","3.10","16668","3.47","103904","89.9%","56.5%","18545","59.0%","27931","61.0%","46476","60.2%","56006","53.3%","6.9pp"
"Run Away Together","U","C","239471","7.21","30668","10.42","44643","23.4%","51.6%","7480","47.3%","11713","53.2%","19193","50.9%","25485","52.1%","-1.2pp"
"Shinestriker","U","U","52345","3.94","16636","4.50","88546","80.7%","55.3%","14464","54.5%","24489","60.9%","38953","58.5%","48060","52.1%","6.5pp"
"Silvergill Mentor","U","U","55867","4.23","15122","4.94","78050","77.2%","57.3%","14498","61.5%","18836","58.8%","33334","60.0%","43255","54.9%","5.1pp"
"Silvergill Peddler","U","C","226410","6.60","34741","9.12","114981","52.2%","55.0%","20530","54.6%","27792","55.3%","48322","55.0%","65228","54.8%","0.2pp"
"Spell Snare","U","U","90945","6.76","10534","10.04","9621","14.8%","48.8%","1658","48.8%","2415","48.9%","4073","48.9%","5550","48.7%","0.2pp"
"Stratosoarer","U","C","220570","6.12","32697","8.69","104883","51.2%","53.3%","18380","50.8%","28828","56.8%","47208","54.5%","56479","51.8%","2.7pp"
"Summit Sentinel","U","C","223988","6.45","33080","9.04","109105","52.8%","53.2%","19913","52.9%","29163","54.1%","49076","53.6%","58703","52.7%","0.9pp"
"Sunderflock","U","R","10580","2.48","4511","2.62","33609","82.0%","57.8%","5723","60.2%","9657","66.2%","15380","63.9%","17331","51.3%","12.6pp"
"Swat Away","U","U","67620","4.82","14121","6.17","62621","70.1%","54.0%","10568","51.7%","16819","56.2%","27387","54.5%","35282","53.6%","0.9pp"
"Sygg, Wanderwine Wisdom","U","R","9547","2.24","4536","2.38","34592","87.9%","55.7%","6432","60.6%","8933","59.9%","15365","60.2%","18758","51.7%","8.5pp"
"Tanufel Rimespeaker","U","U","53780","4.08","14729","4.81","78227","82.2%","54.5%","13301","56.0%","21889","56.7%","35190","56.4%","42091","52.6%","3.8pp"
"Temporal Cleansing","U","C","217309","6.02","40410","8.10","166190","64.6%","55.1%","27395","53.0%","44446","57.5%","71841","55.8%","94468","54.6%","1.2pp"
"Thirst for Identity","U","U","77613","5.57","11615","7.81","33697","46.2%","52.7%","5862","51.2%","8800","54.7%","14662","53.3%","19036","52.2%","1.1pp"
"Unexpected Assistance","U","C","200224","5.49","39539","7.22","181893","72.6%","54.6%","30089","53.3%","47812","57.0%","77901","55.6%","104083","53.9%","1.6pp"
"Unwelcome Sprite","U","U","61599","4.49","15010","5.50","72162","74.8%","54.6%","13158","56.5%","18605","56.1%","31763","56.3%","40461","53.3%","2.9pp"
"Wanderwine Distracter","U","C","241667","7.51","29306","10.90","37424","20.3%","51.9%","6198","49.6%","9392","51.6%","15590","50.8%","21366","52.3%","-1.5pp"
"Wanderwine Farewell","U","U","67824","4.91","14746","6.13","63059","66.9%","55.6%","10414","53.6%","15965","58.2%","26379","56.4%","35334","54.5%","1.9pp"
"Wild Unraveling","U","C","237842","7.14","31934","10.21","53474","26.6%","52.1%","8875","50.6%","14086","55.0%","22961","53.3%","30540","51.2%","2.1pp"
"Auntie's Sentence","B","C","211839","5.86","28096","8.38","91994","52.3%","53.1%","16243","52.9%","22002","53.7%","38245","53.3%","53776","52.9%","0.4pp"
"Barbed Bloodletter","B","C","242950","7.34","28549","10.74","32631","18.3%","52.3%","5465","52.7%","7813","53.8%","13278","53.4%","19365","51.5%","1.8pp"
"Bile-Vial Boggart","B","C","223264","6.50","27491","9.35","75891","44.6%","51.8%","13616","53.1%","17862","51.1%","31478","52.0%","43453","51.4%","0.6pp"
"Bitterbloom Bearer","B","M","4223","1.80","2120","1.87","15688","82.3%","54.2%","2787","60.9%","3895","56.2%","6682","58.2%","8979","51.3%","6.9pp"
"Blight Rot","B","C","132196","3.74","31556","4.66","174154","87.3%","54.0%","29624","53.7%","43288","56.6%","72912","55.4%","101280","53.0%","2.4pp"
"Blighted Blackthorn","B","C","231726","6.75","28783","9.82","51759","29.0%","50.1%","8621","47.1%","13149","52.7%","21770","50.5%","30068","49.7%","0.8pp"
"Bloodline Bidding","B","R","15331","3.12","4814","3.42","27433","76.0%","55.9%","4475","53.9%","7153","61.9%","11628","58.8%","15834","53.7%","5.1pp"
"Boggart Mischief","B","U","54260","4.24","11641","5.08","54332","70.8%","54.5%","9588","54.5%","13320","58.9%","22908","57.1%","29648","51.7%","5.4pp"
"Boggart Prankster","B","C","230083","6.92","29176","9.78","80627","44.4%","52.7%","14483","53.8%","18822","51.6%","33305","52.6%","46095","52.4%","0.2pp"
"Bogslither's Embrace","B","C","135602","3.81","33062","4.74","186345","88.6%","54.4%","31588","53.1%","46834","57.9%","78422","55.9%","107996","53.2%","2.7pp"
"Champion of the Weird","B","R","13600","2.94","4048","3.32","23896","70.7%","54.7%","4004","59.7%","5932","59.2%","9936","59.4%","13319","50.3%","9.1pp"
"Creakwood Safewright","B","U","48581","3.71","13465","4.36","74388","82.8%","56.4%","13341","57.7%","17593","57.4%","30934","57.6%","42148","55.2%","2.3pp"
"Darkness Descends","B","U","84787","6.27","9667","9.37","10873","18.1%","48.5%","1814","45.4%","2778","51.3%","4592","48.9%","6291","48.2%","0.7pp"
"Dawnhand Dissident","B","R","10805","2.35","4867","2.53","33884","85.9%","55.4%","6339","59.4%","8323","58.4%","14662","58.8%","18799","52.5%","6.4pp"
"Dawnhand Eulogist","B","C","197221","5.67","37857","7.22","176259","71.8%","57.2%","29899","56.5%","42340","59.1%","72239","58.0%","100410","56.2%","1.9pp"
"Dose of Dawnglow","B","U","80676","5.73","10723","8.23","25391","38.3%","51.3%","4177","47.7%","6369","53.2%","10546","51.0%","14868","51.6%","-0.6pp"
"Dream Seizer","B","C","231146","6.73","28896","9.73","52587","29.2%","50.5%","8887","48.7%","13397","53.1%","22284","51.3%","30303","49.8%","1.5pp"
"Gloom Ripper","B","R","10443","2.38","4497","2.53","34716","83.6%","59.5%","5832","64.6%","8927","67.4%","14759","66.3%","18773","53.3%","13.0pp"
"Gnarlbark Elm","B","U","53950","4.00","11129","5.00","52621","75.2%","52.6%","9187","51.7%","13459","55.4%","22646","53.9%","30080","51.6%","2.2pp"
"Graveshifter","B","U","45259","3.39","13029","4.04","72780","87.2%","54.0%","12160","51.2%","18077","56.1%","30237","54.1%","40892","53.4%","0.7pp"
"Grub, Storied Matriarch","B","R","15115","3.16","3995","3.70","21456","68.7%","54.1%","3750","53.3%","5212","59.9%","8962","57.1%","11887","51.0%","6.1pp"
"Gutsplitter Gang","B","U","72309","5.36","10415","7.30","34665","53.7%","51.6%","5861","51.8%","8669","52.0%","14530","52.0%","19669","50.9%","1.1pp"
"Heirloom Auntie","B","C","226155","6.76","26074","9.81","57552","35.8%","50.0%","9982","47.2%","13800","49.2%","23782","48.4%","32996","50.8%","-2.4pp"
"Iron-Shield Elf","B","U","55007","4.05","14491","4.83","78081","82.2%","56.5%","14133","59.4%","18023","56.6%","32156","57.8%","45035","55.4%","2.4pp"
"Moonglove Extractor","B","C","221958","6.39","28186","9.21","75880","42.8%","53.2%","13478","52.0%","17078","52.5%","30556","52.3%","44577","53.7%","-1.4pp"
"Moonshadow","B","M","4842","2.01","2104","2.15","14388","82.2%","54.1%","2498","59.9%","3549","55.1%","6047","57.1%","8333","52.0%","5.1pp"
"Mornsong Aria","B","R","38383","5.93","4571","9.20","646","2.3%","48.1%","99","","153","","252","","396","",""
