card,rarity,colors,expert_pct,actual_pct,discrepancy,gih_wr,gih_count
Lumaret's Favor,uncommon,G,0.2809,0.1855,+0.0954,52.80,4653
Fractal Mascot,common,GU,0.4329,0.3322,+0.1007,54.50,33526
Akroma's Will,rare,W,0.9664,0.8622,+0.1042,59.50,1935
Geometer's Arthropod,rare,GU,0.3905,0.2845,+0.1060,54.00,5689
Elemental Mascot,common,RU,0.4894,0.3816,+0.1078,55.00,46405
Forum of Amity,common,,0.6184,0.5106,+0.1078,56.10,70833
Root Manipulation,uncommon,BG,0.2739,0.1661,+0.1078,52.30,8202
Noxious Newt,common,G,0.5742,0.4611,+0.1131,55.80,56339
Dismember,uncommon,B,0.9558,0.8428,+0.1131,59.20,4098
Additive Evolution,uncommon,G,0.8251,0.7102,+0.1148,57.70,25678
Lorehold Charm,uncommon,RW,0.4117,0.2968,+0.1148,54.20,15271
Fractalize,uncommon,U,0.2456,0.1290,+0.1166,51.60,6379
Grapple with Death,common,BG,0.7473,0.6254,+0.1219,57.10,55539
Summoned Dromedary,uncommon,W,0.4682,0.3463,+0.1219,54.60,21352
Rearing Embermare,common,R,0.1820,0.0565,+0.1254,50.10,7151
Soaring Stoneglider,uncommon,W,0.4258,0.2968,+0.1290,54.20,22405
Bogwater Lumaret,common,BG,0.5919,0.4611,+0.1307,55.80,44381
Deluge Virtuoso,common,U,0.2986,0.1661,+0.1325,52.30,29663
Zombify,uncommon,B,0.1537,0.0177,+0.1360,46.40,3020
Killian's Confidence,uncommon,BW,0.7367,0.5989,+0.1378,56.90,21612
Duty Beyond Death,uncommon,W,0.2597,0.1219,+0.1378,51.50,4260
Royal Treatment,uncommon,G,0.6484,0.5106,+0.1378,56.10,16634
Sneering Shadewriter,common,B,0.3587,0.2191,+0.1396,53.20,25583
Social Snub,uncommon,BW,0.2244,0.0760,+0.1484,50.70,3275
Dreamroot Cascade,rare,,0.7191,0.5671,+0.1519,56.50,13057
Cuboid Colony,uncommon,GU,0.7049,0.5530,+0.1519,56.40,22978
Pest Mascot,common,BG,0.4011,0.2473,+0.1537,53.60,38043
Topiary Lecturer,uncommon,G,0.5212,0.3569,+0.1643,54.70,18941
Shamanic Revelation,rare,G,0.3021,0.1360,+0.1661,51.70,758
Applied Geometry,rare,GU,0.9700,0.8004,+0.1696,58.70,15708
Knockout Maneuver,uncommon,G,0.7686,0.5989,+0.1696,56.90,22517
Burrog Barrage,common,G,0.6307,0.4611,+0.1696,55.80,47894
Deathcap Glade,rare,,0.7191,0.5406,+0.1784,56.30,10760
Follow the Lumarets,common,G,0.3304,0.1502,+0.1802,52.10,17160
Rabid Attack,uncommon,B,0.2491,0.0671,+0.1820,50.50,5837
